Package,LibPath,Version,Priority,Built
slam,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1-44,NA,3.5.2
sloop,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.0.9000,NA,3.5.1
snakecase,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9.2,NA,3.5.2
SnowballC,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.1,NA,3.5.2
sourcetools,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.7,NA,3.5.2
sp,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3-1,NA,3.5.2
SparseM,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.77,NA,3.5.2
StanHeaders,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.18.0,NA,3.5.1
stringdist,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9.5.1,NA,3.5.2
stringi,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.4,NA,3.5.1
stringr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.1,NA,3.5.2
subprocess,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.3,NA,3.5.1
survey,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.35,NA,3.5.2
survival,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.43-3,recommended,3.5.2
svUnit,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.7-12,NA,3.5.1
systemfit,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1-22,NA,3.5.1
tableone,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9.3,NA,3.5.2
tabulizer,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.2,NA,3.5.1
tabulizerjars,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.1,NA,3.5.0
tensorflow,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.10,NA,3.5.2
tfruns,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4,NA,3.5.2
threejs,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.1,NA,3.5.1
tibble,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.99.9006,NA,3.5.1
tidybayes,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.3,NA,3.5.2
tidymodels,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.2,NA,3.5.1
tidyposterior,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.2,NA,3.5.1
tidypredict,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.1
tidyr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.2,NA,3.5.1
tidyselect,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.5,NA,3.5.1
tidytext,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.1
tidyverse,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.1,NA,3.5.2
tinytex,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9,NA,3.5.2
TraMineR,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.1-10,NA,3.5.1
transformr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.0,NA,3.5.1
tsibble,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.1,NA,3.5.1
tweenr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.5.9999,NA,3.5.1
udapi,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.3,NA,3.5.2
units,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.6-2,NA,3.5.2
UpSetR,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.3,NA,3.5.1
usethis,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.4.0,NA,3.5.2
utf8,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.4,NA,3.5.2
vctrs,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.0.9000,NA,3.5.1
viridis,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.1,NA,3.5.2
viridisLite,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.0,NA,3.5.2
visdat,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.2,NA,3.5.2
visreg,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.5-0,NA,3.5.1
wdman,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.4,NA,3.5.1
whisker,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3-2,NA,3.5.2
whoami,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.0,NA,3.5.1
widgetframe,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.1,NA,3.5.1
withr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.1.2,NA,3.5.2
WrapRmd,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.0.9001,NA,3.5.1
xaringan,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8,NA,3.5.2
xfun,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4,NA,3.5.2
xml2,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.0,NA,3.5.2
xopen,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.0,NA,3.5.2
xtable,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.8-3,NA,3.5.2
xts,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.11-0,NA,3.5.1
yaml,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.2.0,NA,3.5.2
yardstick,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.2,NA,3.5.1
yesno,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.0,NA,3.5.2
zeallot,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.0,NA,3.5.1
zip,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.0,NA,3.5.2
zoo,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.8-4,NA,3.5.2
base,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
boot,C:/Users/mikkmart/R/R-3.5.2/library,1.3-20,recommended,3.5.2
class,C:/Users/mikkmart/R/R-3.5.2/library,7.3-14,recommended,3.5.2
cluster,C:/Users/mikkmart/R/R-3.5.2/library,2.0.7-1,recommended,3.5.2
codetools,C:/Users/mikkmart/R/R-3.5.2/library,0.2-15,recommended,3.5.2
compiler,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
datasets,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
foreign,C:/Users/mikkmart/R/R-3.5.2/library,0.8-71,recommended,3.5.2
graphics,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
grDevices,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
grid,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
KernSmooth,C:/Users/mikkmart/R/R-3.5.2/library,2.23-15,recommended,3.5.2
lattice,C:/Users/mikkmart/R/R-3.5.2/library,0.20-38,recommended,3.5.2
MASS,C:/Users/mikkmart/R/R-3.5.2/library,7.3-51.1,recommended,3.5.2
Matrix,C:/Users/mikkmart/R/R-3.5.2/library,1.2-15,recommended,3.5.2
methods,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
mgcv,C:/Users/mikkmart/R/R-3.5.2/library,1.8-26,recommended,3.5.2
nlme,C:/Users/mikkmart/R/R-3.5.2/library,3.1-137,recommended,3.5.2
nnet,C:/Users/mikkmart/R/R-3.5.2/library,7.3-12,recommended,3.5.2
parallel,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
rpart,C:/Users/mikkmart/R/R-3.5.2/library,4.1-13,recommended,3.5.2
spatial,C:/Users/mikkmart/R/R-3.5.2/library,7.3-11,recommended,3.5.2
splines,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
stats,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
stats4,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
survival,C:/Users/mikkmart/R/R-3.5.2/library,2.43-3,recommended,3.5.2
tcltk,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
tools,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
utils,C:/Users/mikkmart/R/R-3.5.2/library,3.5.2,base,3.5.2
