Package,LibPath,Version,Priority,Built
DT,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4,NA,3.5.1
dygraphs,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.1.6,NA,3.5.1
e1071,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.7-0,NA,3.5.2
egg,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.2,NA,3.5.2
emmeans,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3.0,NA,3.5.1
enc,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.2.0,NA,3.5.2
enrolr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.0,NA,3.5.1
Epi,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.32,NA,3.5.2
estimability,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.3,NA,3.5.0
etm,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.4,NA,3.5.2
evaluate,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.12,NA,3.5.2
extrafont,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.17,NA,3.5.2
extrafontdb,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0,NA,3.5.2
fansi,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.0,NA,3.5.1
farver,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0.0.9999,NA,3.5.1
fasttime,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.0-2,NA,3.5.0
fbcutils,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.0.9000,NA,3.5.1
fmsb,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.6.3,NA,3.5.0
forcats,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.0,NA,3.5.2
Formula,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2-3,NA,3.5.2
fs,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2.6,NA,3.5.2
fuzzyjoin,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.4,NA,3.5.1
gapminder,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.0,NA,3.5.1
gdata,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.18.0,NA,3.5.2
geepack,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.2-1,NA,3.5.0
generics,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.2,NA,3.5.1
geosphere,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.5-7,NA,3.5.1
gganimate,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.9.9.9999,NA,3.5.1
ggfortify,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.4.5,NA,3.5.1
ggmap,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.6.1,NA,3.5.1
ggorion,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.1.1.9000,NA,3.5.1
ggplot2,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,3.1.0,NA,3.5.1
ggrepel,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.8.0,NA,3.5.2
ggridges,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.5.0,NA,3.5.1
ggsci,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,2.9,NA,3.5.2
ggstance,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.3.1,NA,3.5.2
ggtextures,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,0.0.1,NA,3.5.2
ggthemes,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,4.0.1,NA,3.5.2
ggthemr,C:/Users/mikkmart/OneDrive - Orion Corporation/R/win-library/3.5,1.1.0,NA,3.5.1
